[2022-12-20T20:39:12.565] [WARN] all - Peticon a ruta no encontrada -> url: /favicon.ico | method: GET
[2022-12-20T20:39:33.166] [WARN] all - Peticon a ruta no encontrada -> url: /api/ | method: GET
[2022-12-20T20:39:33.573] [WARN] all - Peticon a ruta no encontrada -> url: /favicon.ico | method: GET
[2022-12-20T20:43:22.246] [WARN] all - Peticon a ruta no encontrada -> url: /favicon.ico | method: GET
[2022-12-20T20:43:33.695] [WARN] all - Peticon a ruta no encontrada -> url: /favicon.ico | method: GET
[2022-12-21T20:57:14.060] [WARN] all - Peticon a ruta no encontrada -> url: /favicon.ico | method: GET
[2022-12-21T20:57:25.951] [ERROR] all - { error: -1, msg: 'Error en la creacion de nuevo producto' }
[2022-12-21T20:58:47.607] [ERROR] all - { error: 'NEW_MSG', msg: 'Error falso para probar logs' }
[2022-12-22T22:39:43.331] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.351] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.357] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.363] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.366] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.371] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.373] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.377] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.379] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.386] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.388] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.400] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.401] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.405] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.407] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.413] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.416] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.417] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.418] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.422] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
[2022-12-22T22:39:43.423] [WARN] all - Peticon a ruta no encontrada -> url: /api/info%20%3E%20result_console_log.txt | method: GET
