[2023-01-23T01:10:02.942] [WARN] warning - Peticon a ruta no encontrada -> url: /favicon.ico | method: GET
[2023-01-23T01:10:12.005] [WARN] warning - Peticon a ruta no encontrada -> url: /favicon.ico | method: GET
[2023-01-23T01:11:36.354] [WARN] warning - Peticon a ruta no encontrada -> url: /favicon.ico | method: GET
[2023-01-23T01:11:38.554] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:11:38.671] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:11:38.760] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:11:38.835] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:11:38.886] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:11:38.936] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:11:39.049] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:11:39.145] [WARN] warning - Peticon a ruta no encontrada -> url: /favicon.ico | method: GET
[2023-01-23T01:18:50.414] [WARN] warning - Peticon a ruta no encontrada -> url: /favicon.ico | method: GET
[2023-01-23T01:18:52.297] [WARN] warning - Peticon a ruta no encontrada -> url: /favicon.ico | method: GET
[2023-01-23T01:18:54.458] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:18:54.507] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:18:54.558] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:18:54.608] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:18:54.661] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:18:54.715] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:18:54.781] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:18:54.877] [WARN] warning - Peticon a ruta no encontrada -> url: /favicon.ico | method: GET
[2023-01-23T01:20:14.448] [WARN] warning - Peticon a ruta no encontrada -> url: /favicon.ico | method: GET
[2023-01-23T01:20:27.760] [WARN] warning - Peticon a ruta no encontrada -> url: /favicon.ico | method: GET
[2023-01-23T01:20:36.474] [WARN] warning - Peticon a ruta no encontrada -> url: /favicon.ico | method: GET
[2023-01-23T01:20:44.655] [WARN] warning - Peticon a ruta no encontrada -> url: /favicon.ico | method: GET
[2023-01-23T01:20:47.010] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:20:47.113] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:20:47.215] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:20:47.318] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:20:47.420] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:20:47.523] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:20:47.624] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:20:47.728] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:20:47.829] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:20:47.933] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:20:48.034] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:20:48.125] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:20:48.238] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:20:48.341] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:20:48.443] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:20:48.549] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:20:48.650] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:20:48.752] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:20:48.854] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:20:48.907] [WARN] warning - Peticon a ruta no encontrada -> url: /login | method: DELETE
[2023-01-23T01:20:52.811] [WARN] warning - Peticon a ruta no encontrada -> url: /favicon.ico | method: GET
[2023-01-23T01:37:19.576] [WARN] warning - Peticon a ruta no encontrada -> url: /favicon.ico | method: GET
[2023-01-23T01:40:36.713] [WARN] warning - Peticon a ruta no encontrada -> url: /api/random | method: GET
[2023-01-23T01:40:37.003] [WARN] warning - Peticon a ruta no encontrada -> url: /favicon.ico | method: GET
[2023-01-23T01:40:51.135] [WARN] warning - Peticon a ruta no encontrada -> url: /favicon.ico | method: GET
[2023-01-23T01:50:41.649] [WARN] warning - Peticon a ruta no encontrada -> url: /api/rand | method: GET
[2023-01-23T01:50:41.813] [WARN] warning - Peticon a ruta no encontrada -> url: /favicon.ico | method: GET
[2023-01-23T01:50:52.231] [WARN] warning - Peticon a ruta no encontrada -> url: /favicon.ico | method: GET
[2023-01-23T01:54:40.503] [WARN] warning - Peticon a ruta no encontrada -> url: /favicon.ico | method: GET
[2023-01-23T01:54:56.376] [WARN] warning - Peticon a ruta no encontrada -> url: /favicon.ico | method: GET
[2023-01-23T01:56:15.131] [WARN] warning - Peticon a ruta no encontrada -> url: /favicon.ico | method: GET
[2023-01-23T01:56:19.573] [WARN] warning - Peticon a ruta no encontrada -> url: /favicon.ico | method: GET
[2023-01-23T02:22:49.180] [WARN] warning - Peticon a ruta no encontrada -> url: /api/inf | method: GET
[2023-01-23T02:22:49.485] [WARN] warning - Peticon a ruta no encontrada -> url: /favicon.ico | method: GET
